date,confirmed_new,confirmed_cum,deaths_new,deaths_cum,recovered_new,recovered_cum,active
Jan 21,1,1,0,0,0,0,1
Jan 24,1,2,0,0,0,0,2
Jan 25,1,3,0,0,0,0,3
Jan 26,2,5,0,0,0,0,5
Jan 30,1,6,0,0,0,0,6
Jan 31,1,7,0,0,0,0,7
Feb 1,1,8,0,0,0,0,8
Feb 2,3,11,0,0,0,0,11
Feb 5,1,12,0,0,0,0,12
Feb 15,0,12,0,0,3,3,9
Feb 20,2,14,0,0,2,5,9
Feb 25,0,14,0,0,1,6,8
Feb 26,1,15,0,0,0,6,9
Feb 27,0,15,0,0,0,6,9
Feb 28,4,19,0,0,0,6,13
Feb 29,5,24,1,1,1,7,16
Mar 1,18,42,1,2,2,9,31
Mar 2,15,57,4,6,0,9,42
Mar 3,28,85,3,9,0,9,67
Mar 4,26,111,2,11,0,9,91
Mar 5,64,175,0,11,0,9,155
Mar 6,77,252,3,14,6,15,223
Mar 7,101,353,5,19,0,15,319
Mar 8,144,497,2,21,0,15,461
Mar 9,148,645,5,26,0,15,604
Mar 10,291,936,5,31,0,15,890
Mar 11,269,1205,6,37,0,15,1153
Mar 12,393,1598,4,41,0,15,1542
Mar 13,565,2163,8,49,1,16,2098
Mar 14,662,2825,7,56,33,49,2720
Mar 15,676,3501,6,62,11,60,3379
Mar 16,872,4373,14,76,15,75,4222
Mar 17,1291,5664,21,97,32,107,5460
Mar 18,2410,8074,26,123,0,107,7844
Mar 19,3948,12022,52,175,2,109,11738
Mar 20,5417,17439,55,230,38,147,17062
Mar 21,6271,23710,68,298,24,171,22941
Mar 22,8631,32341,110,408,7,178,31755
Mar 23,10410,42751,111,519,118,296,41936
Mar 24,9939,52690,162,681,83,379,51630
Mar 25,12226,64916,225,906,15,394,63616
Mar 26,17050,81966,253,1159,1470,1864,78943
Mar 27,19046,101012,433,1592,601,2465,96955
Mar 28,20093,121105,447,2039,766,3231,115835
Mar 29,19118,140223,392,2431,1328,4559,133233
Mar 30,20463,160686,555,2986,947,5506,152194
Mar 31,25305,185991,821,3807,1745,7251,174933
Apr 1,26756,212747,940,4747,1627,8878,199122
Apr 2,28879,241626,1075,5822,1525,10403,225401
Apr 3,32525,274151,1185,7007,1880,12283,254861
Apr 4,33725,307876,1353,8360,2542,14825,284691
Apr 5,25717,333593,1175,9535,3152,17977,306081
Apr 6,29359,362952,1212,10747,1596,19573,332632
Apr 7,30512,393464,1927,12674,2101,21674,359116
Apr 8,32282,425746,1936,14610,1217,22891,388245
Apr 9,34243,459989,1856,16466,3037,25928,417595
Apr 10,33578,493567,2078,18544,1386,27314,447709
Apr 11,31869,525436,1899,20443,3139,30453,474540
Apr 12,28057,553493,1493,21936,2181,32634,498923
Apr 13,24685,578178,1462,23398,4314,36948,517832
Apr 14,25987,604165,2378,25776,1872,38820,539569
Apr 15,29465,633630,2438,28214,9888,48708,556708
Apr 16,32076,665706,2141,30355,9046,57754,577597
Apr 17,30915,696621,2080,32435,2756,60510,603676
Apr 18,28084,724705,1743,34178,7775,68285,622242
Apr 19,26013,750718,1634,35812,2727,71012,643894
Apr 20,25132,775850,1643,37455,1377,72389,666006
Apr 21,25178,801028,2624,40079,10534,82923,715481
Apr 22,29246,830274,2119,42198,1127,84050,704026
Apr 23,31277,861551,1840,44038,1872,85922,731591
Apr 24,35930,897481,2053,46091,24510,110432,740958
Apr 25,34782,932263,1825,47916,7730,118162,766185
Apr 26,26858,959121,1161,49077,619,118781,791263
Apr 27,22042,981163,1237,50314,20209,138990,791859
Apr 28,24359,1005522,2204,52518,3248,142238,810766
Apr 29,25869,1031391,2536,55054,5173,147411,828926
Apr 30,29637,1061028,2083,57137,8326,155737,848154
May 1,32964,1093992,1794,58931,5826,161563,873498
May 2,30531,1124523,1668,60599,12162,173725,890199
May 3,25382,1149905,1117,61716,4538,178263,909926
May 4,21278,1171183,877,62593,9805,188068,920522
May 5,22226,1193409,2435,65028,12560,200628,920522
May 6,24805,1218214,2701,67729,12456,213084,937401
May 7,27514,1245728,1971,69700,4166,217250,958778
May 8,27095,1272823,1695,71395,6353,223603,977825
May 9,25537,1298360,1555,72950,14475,238078,987332
May 10,20687,1319047,945,73895,18258,256336,988816
May 11,17777,1336824,840,74735,5889,262225,999864
May 12,21436,1358260,1591,76326,34521,296746,985188
May 13,20481,1378741,1715,78041,13513,310259,990441
May 14,26742,1405483,1858,79899,7768,318027,1007557
May 15,25335,1430818,1524,81423,8215,326242,1023153
May 16,24482,1455300,1231,82654,12990,339232,1033414
May 17,19692,1474992,785,83439,7157,346389,1045164
May 18,21100,1496092,792,84231,9994,356383,1055478
May 19,19658,1515750,1425,85656,4797,361180,1068914
May 20,22344,1538094,1528,87184,8896,370076,1080834
May 21,24942,1563036,1286,88470,12093,382169,1092397
May 22,22209,1585245,1262,89732,21032,403201,1092312
May 23,22695,1607940,1089,90821,43713,446914,1070205
May 24,20243,1628183,646,91467,4788,451702,1085014
May 25,18543,1646726,504,91971,12968,464670,1090085
May 26,16653,1663379,634,92605,15299,479969,1090805
May 27,18666,1682045,1379,93984,10161,490130,1097931
May 28,22980,1705025,1216,95200,8595,498725,1111100
May 29,23497,1728522,1175,96375,20844,519569,1112578
May 30,23826,1752348,979,97354,15669,535238,1119756
May 31,21686,1774034,605,97959,64629,599867,1076208
Jun 1,16040,1790074,478,98437,15549,615416,1076221
Jun 2,20039,1810113,1039,99476,30558,645974,1064663
Jun 3,19679,1829792,1004,100480,42696,688670,1040642
Jun 4,20975,1850767,909,101389,23582,712252,1037126
Jun 5,23288,1874055,849,102238,26394,738646,1033171
Jun 6,23381,1897436,725,102963,13248,751894,1042579
Jun 7,18535,1915971,448,103411,9814,761708,1050852
Jun 8,16301,1932272,491,103902,11772,773480,1054890
Jun 9,17180,1949452,926,104828,15382,788862,1055762
Jun 10,20246,1969698,861,105689,19632,808494,1055515
Jun 11,17848,1987546,812,106501,7592,816086,1064959
Jun 12,24422,2011968,758,107259,25848,841934,1062775
Jun 13,25942,2037910,654,107913,12172,854106,1075891
Jun 14,21141,2059051,345,108258,15944,870050,1080743
Jun 15,18307,2077358,384,108642,19816,889866,1078850
Jun 16,23048,2100406,739,109381,13175,903041,1087984
Jun 17,23620,2124026,742,110123,15755,918796,1095107
Jun 18,27082,2151108,694,110817,12198,930994,1109297
Jun 19,30927,2182035,682,111499,25067,956061,1114475
Jun 20,31963,2213998,550,112049,16880,972941,1129008
Jun 21,28095,2242093,283,112332,7414,980355,1149406
Jun 22,26558,2268651,292,112624,22574,1002929,1153908
Jun 23,33315,2301966,766,113390,17474,1020403,1168173
Jun 24,37945,2339911,688,114078,20202,1040605,1185228
Jun 25,38853,2378764,644,114722,11688,1052293,1211749
Jun 26,44726,2423490,598,115320,16410,1068703,1239467
Jun 27,43581,2467071,507,115827,12734,1081437,1269807
Jun 28,40691,2507762,250,116077,12019,1093456,1298229
Jun 29,36390,2544152,338,116415,23721,1117177,1310560
Jun 30,43865,2588017,613,117028,26157,1143334,1327655
Jul 1,52609,2640626,670,117698,21346,1164680,1358248
Jul 2,54869,2695495,671,118369,26411,1191091,1386035
Jul 3,57209,2752704,610,118979,44397,1235488,1398237
Jul 4,50693,2803397,273,119252,24917,1260405,1423740
Jul 5,42953,2846350,212,119464,29159,1289564,1437322
Jul 6,46733,2893083,234,119698,35383,1324947,1448438
Jul 7,51108,2944191,917,120615,29916,1354863,1468713
